n,LAM,time
400, 0.6539640447373405, 0.049371963
1600, 0.6461361049580043, 0.001732517
6400, 0.6391874591498419, 0.004588399
25600, 0.6329171419827357, 0.024825936
102400, 0.6337843857207736, 0.123955912
409600, 0.6362960636741658, 0.393596498
1638400, 0.635088012742192, 1.489342279
6553600, 0.6359918838726573, 5.941865323
26214400, 0.8109897383943347, 27.755246069
104857600, 0.9598356323386731, 188.912355169
419430400, 0.9903391855128159, 757.97785842
